"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","question_order","fullscreen_element","test_part","Answer","stimulus","key_press","response","Image","Valence","value","feedback","Person","likeable","trustworthy","competence"
"true","fullscreen","0","1764","0.0-0.0","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","1","4806","0.0-1.0","3037.449999999808","{""Q0"":""Woman""}","[0]","HTML","Gender question","Woman","","","","","","","","","","",""
"","html-keyboard-response","2","5657","0.0-2.0","846.2500000023283","","","HTML","Instructions","","<div dir=""ltr""><p>In the upcoming task, we will show you a variety of emotional images.</p> In some cases, we will ask you to <strong> rate your emotional response</strong> to the picture, as previous participants have done before you. In other cases, we will ask you to <strong>guess the emotional response of a previous participant to the picture.</strong></p><br><p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","3","5799","0.0-3.0","140.30999999886262","","","HTML","Instructions","","<div dir=""ltr"">During the task, you will rate your emotional responses to different images. You will rate your responses on a continuous scale that ranges from -100 to 100. The scale will appear below each picture, as follows:<br><img src=""instruction_images/scalepic.PNG"" style=""width:500px;""><br><p>A rating of <strong>100</strong> means that the image makes you <strong>feel very good</strong></p>. </p>A rating of <strong>-100</strong> means that the image makes you <strong>feel very bad</strong></p>. <p>A rating of <strong>0</strong> means that the picture <strong>does not make you feel good or bad.</strong></p> To indicate your rating, use the mouse to move the cursor to the relevant position on the scale, which best reflects your emotional response to the image. After you rate how you feel, we will show you your rating on a separate subsequent screen.<br><p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","4","5927","0.0-4.0","126.98500000260537","","","HTML","Instructions","","<div dir=""ltr"">Sometimes, we will ask you to rate your own reaction to the image. In these cases, you will see a picture, and the rating scale will appear below it. You will then move the mouse and click to indicate how you feel in response to the image. It will look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic1.png""><br><p>Press the spacebar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","5","6044","0.0-5.0","116.42000000210828","","","HTML","Instructions","","<div dir=""ltr"">After you indicate your response, the next slide will show you how you have responded in red. You will not need to respond again, just press the spacebar to continue. If you found the picture just a tiny bit positive and gave it a rating of 16 on the scale, your response would look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic2.png""><br><p>Press the space bar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","6","6163","0.0-6.0","117.76000000099884","","","HTML","Instructions","","<div dir=""ltr"">In addition to asking you to rate your own reactions to some images, we will also ask you to guess the emotional responses of previous participants to some images. In these cases, you will see the name of an actual previous participant, and need to guess the emotional response of that participant to the image, by guessing their rating on the scale. It will look like this:<br> <img style=""width:500px;"" src=""instruction_images/slidepic3.png""><br><p>Press the spacebar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","7","6289","0.0-7.0","125.09499999941909","","","HTML","Instructions","","<div dir=""ltr"">To indicate the emotional response of a previous participant to a picture, you will also use the same scale that ranges from -100 to 100. A rating of 100 means you assume that the image made the participant feel very good. A rating of - 100 means you assume that the image made the participant feel very bad.A rating of 0 means you assume that the image did not make the participant feel good or bad. Please use the mouse to move the cursor to the place on the scale that best matches the response of the previous participant.<p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","8","6417","0.0-8.0","126.9300000021758","","","HTML","Instructions","","<div dir=""ltr"">After you guess how the previous participant responded to the image, in the next screen we will show you the actual response of that previous participant to the image in red. It will look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic4.png""><br>Press the spacebar to continue</div>","32","","","","","","","","",""
"","html-keyboard-response","9","6531","0.0-9.0","113.13499999960186","","","HTML","Instructions","","<div dir=""ltr"">Now, you will complete a brief training phase. <p>You will be presented with different pictures and rate how you feel in response to each picture.</p><p>Press the spacebar to begin.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","10","7282","0.0-10.0-0.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","11","9429","0.0-10.0-0.0-1.0","1140.5650000015157","","","HTML","First cond trial","-79","<div style=""margin: auto;""><img src=""stimuli/6350.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":500.0949999994191,""slider"":""0""},{""rt"":1140.5650000015157,""slider"":""-79""}]","6350","Negative","","","","","",""
"","html-keyboard-response","12","11182","0.0-10.0-1.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","13","12837","0.0-10.0-1.0-1.0","649.8200000023644","","","HTML","First cond trial","83","<div style=""margin: auto;""><img src=""stimuli/5760.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":499.8249999989639,""slider"":""0""},{""rt"":649.8200000023644,""slider"":""83""}]","5760","Positive","","","","","",""
"","call-function","14","13839","0.0-11.0","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","14247","0.0-12.0","406.8100000004051","","","HTML","Instructions","","<div dir=""ltr"">The training is over. Now the main task will begin. During the task, you will be presented with multiple pictures. In some cases, you will rate how you feel in response to a picture, and then your emotional reaction will be presented on a separate screen. In other cases, you will guess the emotional response of a previous participant to a picture, and then that participant's <b><u>actual</u></b> emotional response will be presented on a separate screen. <br><p>Press the spacebar to begin the task.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","16","14405","0.0-13.0","156.18500000346103","","","HTML","Instructions","","<div dir=""ltr"">Hereâ€™s a brief example of a few trials.<p>Press the spacebar to begin the task.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","17","15156","0.0-14.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","18","18776","0.0-14.0-1.0","1540.5299999983981","","","HTML","Self cond trial","-84","<div style=""margin: auto;""><img src=""stimuli/exm1.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":499.9549999993178,""slider"":""0""},{""rt"":1540.5299999983981,""slider"":""-84""},{""rt"":999.934999999823,""slider"":""-84""},{""rt"":73.74500000150874,""slider"":""-84""}]","exm1","Negative","","","","","",""
"","html-keyboard-response","19","20528","0.0-15.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","20","23642","0.0-15.0-1.0","71","","","HTML","other cond trial","71","<div style=""margin: auto;""><img src=""stimuli/exm2.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":499.98000000050524,""slider"":""0""},{""rt"":864.7750000018277,""slider"":""71""},{""rt"":999.759999998787,""slider"":""71""},{""rt"":242.63000000064494,""slider"":""45""}]","exm2","Negative","","71","","","",""
"","html-keyboard-response","21","25255","0.0-16.0","611.205000001064","","","HTML","Instructions","","<div dir=""ltr"">When you are ready to begin the main task. Press the spacebar.</div>","32","","","","","","","","",""
"","html-keyboard-response","22","26007","0.0-17.0-0.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","23","29117","0.0-17.0-0.0-1.0","718.5749999989639","","","HTML","Self cond trial","77","<div style=""margin: auto;""><img src=""stimuli/4628.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":499.9449999995704,""slider"":""0""},{""rt"":718.5749999989639,""slider"":""77""},{""rt"":999.8999999988882,""slider"":""77""},{""rt"":382.9599999990023,""slider"":""77""}]","4628","Positive","","","","","",""
"","html-keyboard-response","24","30869","0.0-17.0-1.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","25","34491","0.0-17.0-1.0-1.0","-66","","","HTML","other cond trial","-66","<div style=""margin: auto;""><img src=""stimuli/1590.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":500.02999999924214,""slider"":""0""},{""rt"":1050.4000000000815,""slider"":""-66""},{""rt"":999.8899999991409,""slider"":""-66""},{""rt"":565.3000000020256,""slider"":""82""}]","1590","Positive","","-66","","","",""
"","html-keyboard-response","26","35982","0.0-18.0","488.39500000030966","","","HTML","Instructions","","<div dir=""ltr"">Now, we will continue to the next part of the task.<br>In this part, we will show you responses of previous participants. You will see five responses of the same participants, in sequence. After viewing the participant's responses, we will ask you to evaluate that participant on several dimensions.<br>The participants' responses will appear briefly and then disappear. Therefore, you need to pay attention to their responses in order so that you can evaluate the person who made these responses.<br>We are interested in your intuitive judgments. There are no correct or incorrect judgement. Try to make your evaluations quickly based on your gut feeling.<br><p>Press the spacebar to begin.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","27","36733","0.0-19.0-0.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","28","41238","0.0-19.0-0.0-1.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/4626.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.7049999983574,""slider"":""72""}]","4626","","","","Anna","","",""
"","html-slider-response-modified","29","46242","0.0-19.0-0.0-2.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/5200.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.6849999988626,""slider"":""54""}]","5200","","","","Anna","","",""
"","html-slider-response-modified","30","51247","0.0-19.0-0.0-3.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/8499.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.729999999545,""slider"":""48""}]","8499","","","","Anna","","",""
"","html-slider-response-modified","31","56251","0.0-19.0-0.0-4.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/8032.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.660000001313,""slider"":""55""}]","8032","","","","Anna","","",""
"","html-slider-response-modified","32","61256","0.0-19.0-0.0-5.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/2222.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.69499999861,""slider"":""66""}]","2222","","","","Anna","","",""
"","html-slider-response-modified","33","66384","0.0-19.0-0.0-6.0","","","","HTML","Rating Person","","<div style=""margin: 120px auto auto auto;""><span style=""font-size: 1.3vw"">Please answer the following questions:</span></div>","","[{""rt"":499.9900000002526,""slider"":""0""},{""rt"":1457.6499999966472,""slider"":""80""},{""rt"":499.8149999992165,""slider"":""80""},{""rt"":434.3250000019907,""slider"":""80""},{""rt"":499.7899999980291,""slider"":""80""},{""rt"":728.7799999976414,""slider"":""85""}]","","","","","Anna","0","80","80"
"","html-keyboard-response","34","68137","0.0-19.0-1.0-0.0","null","","","HTML","fixation","","<div style=""position: absolute; top:50%; left:50%; transform: translate(-50%,-50%);""><span style=""font-size: 200px""><b>+</b></span></div>","null","","","","","","","","",""
"","html-slider-response-modified","35","72642","0.0-19.0-1.0-1.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/8158.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.69499999861,""slider"":""100""}]","8158","","","","Mila","","",""
"","html-slider-response-modified","36","77646","0.0-19.0-1.0-2.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/1460.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.4900000019697,""slider"":""100""}]","1460","","","","Mila","","",""
"","html-slider-response-modified","37","82651","0.0-19.0-1.0-3.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/5800.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.729999999545,""slider"":""100""}]","5800","","","","Mila","","",""
"","html-slider-response-modified","38","87655","0.0-19.0-1.0-4.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/1812.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.71000000005,""slider"":""100""}]","1812","","","","Mila","","",""
"","html-slider-response-modified","39","92660","0.0-19.0-1.0-5.0","","","","HTML","Stage 3 Show Images","","<div style=""margin: auto;""><img src=""stimuli/2080.jpg"" style=""width: 500px;"" /></div>","","[{""rt"":3999.7350000012375,""slider"":""97""}]","2080","","","","Mila","","",""
"","html-slider-response-modified","40","97827","0.0-19.0-1.0-6.0","","","","HTML","Rating Person","","<div style=""margin: 120px auto auto auto;""><span style=""font-size: 1.3vw"">Please answer the following questions:</span></div>","","[{""rt"":499.9649999990652,""slider"":""0""},{""rt"":1120.4450000004726,""slider"":""32""},{""rt"":499.7499999990396,""slider"":""32""},{""rt"":684.1249999997672,""slider"":""14""},{""rt"":499.75000000267755,""slider"":""14""},{""rt"":855.5999999989581,""slider"":""71""}]","","","","","Mila","0","32","32"
